Date,Local Route,Light Rail,Peak Service,Rapid Route,School,Other
09/08/2019,16883,10790,375,23007,5284,14
13/11/2020,13394,7584,198,13614,4672,65
07/07/2022,9635,7788,226,12984,0,72
12/04/2022,10254,7869,277,13742,0,48
25/12/2019,61,0,0,101,0,
16/09/2019,18179,11701,496,24422,5790,0
26/01/2024,2891,5593,0,7065,0,19
14/07/2019,3584,3486,0,4761,0,3
19/03/2020,15491,7963,330,19246,5873,0
16/06/2024,2626,4124,0,6481,0,21
13/12/2020,2251,3621,0,4833,0,26
20/03/2021,3186,4406,0,5835,0,28
13/03/2020,18951,11915,373,25302,5882,0
19/01/2020,2614,3950,0,5203,0,3
24/04/2023,13698,9132,232,16254,1945,61
28/01/2021,10711,6942,280,12890,0,45
24/08/2020,11504,5692,156,11230,5247,55
05/03/2021,15957,9623,205,17175,4850,68
17/12/2023,2748,4329,0,6366,0,21
29/10/2022,3582,6057,0,7179,0,16
24/11/2020,13445,8019,278,14531,4690,80
08/02/2023,16614,10940,336,19728,5921,144
27/09/2019,18492,13384,329,25249,4745,0
16/02/2022,13027,6466,157,12947,5466,55
19/03/2021,16607,9711,236,16941,5569,57
15/12/2019,2865,4472,0,6323,0,0
27/03/2022,2031,2942,0,4909,0,33
10/04/2022,2035,3536,0,5237,0,24
05/03/2024,17619,12503,403,22310,2266,90
15/04/2022,1155,2768,0,3000,0,8
25/09/2020,10814,5837,171,11165,4109,34
11/09/2022,2040,4185,0,5374,0,27
17/04/2021,3156,4913,0,6445,0,26
27/01/2020,2396,3371,0,5185,0,0
16/04/2024,13976,11549,391,19837,0,82
12/02/2021,15506,8650,230,15651,5317,79
04/04/2024,17209,10776,347,20138,5537,78
01/11/2019,18179,12743,337,24242,5251,1
25/11/2023,4233,6813,0,8613,0,32
20/03/2024,18958,12303,411,21981,5823,88
01/09/2024,2448,4364,0,6487,0,29
13/07/2023,11556,9933,312,16001,0,52
24/09/2021,2510,1025,16,2530,0,26
14/04/2024,2704,4861,0,6791,0,19
14/11/2022,13895,8761,271,15661,4206,54
28/09/2020,8822,6028,200,10349,0,28
19/01/2023,11337,8671,262,14881,0,66
16/08/2023,16791,11800,387,20936,4684,113
10/01/2022,5732,3548,73,6644,0,25
04/05/2020,3717,1952,70,4411,131,19
26/07/2023,16680,11726,347,20438,4738,99
